name;Object;property;exist
产品;applyCustInfoVO;prodId;FRD不存在，能查到
贷款编号;applyCustInfoVO;contractNo;存在
货款期限;applyCustInfoVO;loanTenure;Y
授信额度;applyCustInfoVO;prodLmt;F
可用额度;applyCustInfoVO;availLmt;F
日利率;applyCustInfoVO;dayIntRate;YN
额度起始日期;applyCustInfoVO;startDate;F
额度终止日期;applyCustInfoVO;dueDate;F
支用笔数;loanAcctStsInfo;drawndnNum;YF
目前逾期天数;loanAcctStsInfo;curMaxOvdDays;YN
目前逾期期数;loanAcctStsInfo;curMaxOvdTerms;YN
资产分类;loanAcctStsInfo;assetClass;Y
订单笔数;;;YN
获贷金额;loanAcctStsInfo;amt;Y
贷款余额;loanAcctStsInfo;oweAmt;Y
应收利息;loanAcctStsInfo;intDue;Y
逾期本金;loanAcctStsInfo;ovdPrinAmt;Y
逾期利息罚息;loanAcctStsInfo;ovdAccIntDue;Y
逾期本金罚息;loanAcctStsInfo;ovdPrinIntDue;Y
应收费用;loanAcctStsInfo;feeDue;Y
逾期利息;loanAcctStsInfo;ovdInt;Y
逾期欠款余额;loanAcctStsInfo;ovdBalanceDue;Y
欠款余额;loanAcctStsInfo;balanceDue;Y
预警未还贷欠款余额;;;N
退款未还贷欠款余额;;;N
未还贷欠款余额;;;N
